AuthorID,Author,Date,Content,Attachments,Reactions
1.9378E+17,Vincente#0733,10/06/2017 2:45 PM,Started a call that lasted 0 minutes.,,
1.9378E+17,Vincente#0733,10/07/2017 1:27 PM,Started a call that lasted 0 minutes.,,
2.39697E+17,Dragonite#7048,03/07/2018 11:39 PM,https://discord.gg/Mf8pxx,,
2.39697E+17,Dragonite#7048,03/17/2018 3:28 PM,https://discord.gg/6Q86fC,,
1.9378E+17,Vincente#0733,04/01/2018 10:44 PM,yo josh. you started the science project?,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,hey,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,yo,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,josh,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,jsoh,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,josh,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,josh,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,sjohs,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,johs,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,johs,,
1.9378E+17,Vincente#0733,04/01/2018 10:51 PM,johs,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,hjojhs,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,jos,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,josh,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,jkoshj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,joshj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,sjohj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,joshj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,joshj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,sjoh,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,josh,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,johsj,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,johs,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,jojhs,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,as'df'asd,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,fs,,
1.9378E+17,Vincente#0733,04/01/2018 10:52 PM,df,,
2.39697E+17,Dragonite#7048,04/02/2018 9:03 PM,https://discord.gg/BbtTak,,
2.39697E+17,Dragonite#7048,04/02/2018 9:44 PM,https://discord.gg/QbQVHB,,
2.39697E+17,Dragonite#7048,04/02/2018 9:45 PM,https://discord.gg/HXYpQv,,
2.39697E+17,Dragonite#7048,04/02/2018 9:49 PM,https://discord.gg/YwmqKR,,
2.39697E+17,Dragonite#7048,04/08/2018 7:57 PM,https://discord.gg/Sm5Rzd,,
2.39697E+17,Dragonite#7048,04/09/2018 5:42 PM,https://discord.gg/JKEyFF,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/16/2018 11:06 PM,v,,
2.39697E+17,Dragonite#7048,04/22/2018 10:12 PM,https://discord.gg/Ad8fTX,,
